Показатель;Ед, изм.;1991;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Приведенная цена реализации нефти;руб,/т;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000
Добыча нефти;тыс, т;0;1,2188367824414537;72,50421642979823;79,40029499510545;57,63142718645425;57,40343900169207;58,39571273526982;61,01197805257506;71,91152079575778;73,6965112875422;118,2342196394368;207,02218233394817;239,95646519662043;251,06650895829148;281,3638999252961;303,98961266385857;297,5251065220268;276,2431237190386;251,65221070847932;240,75966434769984;225,03864900495998;209,36726009266326;201,7549426840691;196,5290025403878;177,6443219530852;160,67106237346033;152,99150517808172;141,50032137454485;132,59840721886707;125,12475530206217;118,74949068443655;112,90921028863646;80,80882697881995
Добыча жидкости;тыс, т;0;1,2188472994445847;72,79920851795457;80,53387147951508;60,132760399975474;61,828804744347934;64,94870057146564;70,44997233566689;85,31909124802311;89,98159033547782;137,87101509693687;228,69544381829982;264,5534495058525;280,1276638349257;319,178945122534;358,4314476446165;379,6406401033429;391,0337795687493;411,8490487691181;440,670010104302;460,4837654767575;480,41173648214584;513,6635829703802;535,786568627897;548,737528868715;567,730795166806;589,3218305316813;602,0351092754712;615,8552052536417;628,724344581069;639,978254217594;652,2499119113199;494,2252220998867
Закачка;тыс, м3;0;0;0;0;8,151806161354443;32,58617558810763;34,56102034877397;48,05190711245303;62,42946841498316;65,76740309402504;183,6517576414076;295,3509457903428;334,4117755494041;384,7318881941462;461,80751310526944;524,7970183757474;547,9129460761249;569,2113650324369;582,2163184266989;593,5213061323859;596,6673191022144;601,020725607078;614,8600323905233;637,2135187122963;649,83364982901;662,6403921959031;669,2653733140498;677,9856048329133;683,9626827220161;695,3631272281752;700,525681119326;707,466069831439;531,252123224483
Средний действующий фонд;скв,;0;5;251;475;610;750;852;893;914;933;958;960;960;960;993;1023;1044;1045;1069;1103;1121;1128;1157;1184;1200;1204;1236;1236;1236;1236;1236;1236;927
Выручка от основной деятельности;млн руб,;0;34,127429908360696;2030,1180600343507;2223,2082598629527;1613,6799612207192;1607,296292047378;1635,079956587555;1708,3353854721017;2013,5225822812179;2063,5023160511814;3310,5581499042305;5796,6211053505485;6718,781025505372;7029,8622508321605;7878,18919790829;8511,709154588041;8330,70298261675;7734,8074641330795;7046,26189983742;6741,270601735596;6301,082172138878;5862,283282594571;5649,138395153935;5502,812071130858;4974,041014686386;4498,78974645689;4283,762144986288;3962,0089984872557;3712,7554021282776;3503,493148457741;3324,985739164223;3161,457888081821;2262,6471554069585
OPEX на нефть;млн руб,;0;0,04875347129765814;2,9001686571919296;3,1760117998042188;2,30525708745817;2,296137560067683;2,3358285094107925;2,440479122103002;2,876460831830311;2,9478604515016875;4,729368785577472;8,280887293357928;9,598258607864818;10,042660358331657;11,254555997011844;12,159584506554342;11,901004260881074;11,049724948761542;10,066088428339173;9,630386573907995;9,0015459601984;8,37469040370653;8,070197707362764;7,8611601016155115;7,1057728781234095;6,426842494938413;6,119660207123268;5,660012854981794;5,303936288754683;5,004990212082487;4,749979627377462;4,516368411545458;3,2323530791527983
OPEX на жидкость;млн руб,;0;0,12188472994445847;7,279920851795457;8,05338714795151;6,013276039997547;6,182880474434794;6,4948700571465645;7,044997233566688;8,531909124802311;8,99815903354778;13,787101509693688;22,869544381829986;26,455344950585246;28,012766383492576;31,9178945122534;35,84314476446165;37,96406401033429;39,10337795687493;41,18490487691181;44,0670010104302;46,04837654767575;48,04117364821459;51,36635829703802;53,57865686278971;54,8737528868715;56,7730795166806;58,93218305316813;60,20351092754712;61,58552052536417;62,872434458106895;63,997825421759394;65,22499119113199;49,42252220998867
OPEX на закачку;млн руб,;0;0;0;0;0,2445541848406333;0,9775852676432288;1,036830610463219;1,441557213373591;1,8728840524494947;1,973022092820751;5,509552729242228;8,860528373710284;10,032353266482124;11,541956645824385;13,854225393158083;15,743910551272423;16,437388382283746;17,07634095097311;17,46648955280097;17,80563918397158;17,900019573066434;18,03062176821234;18,4458009717157;19,116405561368886;19,495009494870303;19,879211765877095;20,077961199421495;20,339568144987396;20,518880481660485;20,86089381684526;21,01577043357978;21,22398209494317;15,93756369673449
