start	end	text
0	12340	Здравствуйте, уважаемые участники Хакатона. Меня зовут Данил. Сегодня немного поговорим про базовые технологии, которые могут быть вам полезны при выполнении задач Хакатона.
12340	25080	В втором треке, отчасти в первом, вам придется строить свои собственные модели, суррогатные модели временных рядов, агентов, принимающих решения.
25960	32620	И для этого нужна некая такая общая база, какая-то математика, на которой все это строится, некоторую архитектуру рассмотрим,
32620	38040	которые сегодня применяются для обработки временных рядов.
39720	45960	И понимание того, как эти модели встраиваются в мультиагентные системы и в обучении с покреплением.
47340	53520	Сегодняшняя лекция – это как раз по такой некую базовый обзор возможных технологий, которые вы можете применять.
55100	60900	Основная цель лекции – это дать вам некий словарь, инструментарий и понимание того, как эти технологии работают внутри.
60900	66240	И только дальше вы сами осознанно спроектировали решение под свой трек.
68400	71380	Прежде чем пробежаться, быстро пройдемся по карте того, что нас ждет.
72020	80000	8 разделов. Начнем с введения, разберем, что такое вообще deep learning, как метод, как работает самая простая нейросеть.
80200	85600	Вот там линейные регрессии до грезентного спуска и функции активации.
85600	92520	Немножко введем формализацию.
93320	104560	Второй раздел – это путь от рекуррентных сетей, LSTM, и к трансформерам, уже к более современным моделям.
104560	114700	Третий раздел – это интерпретируемость, что можно, что нельзя понять, заглянув внутрь модели через механизм внимания.
115580	119560	И дальше начинаем более уже такая прикладная часть, ближе к задаче.
119560	131980	Это суррогатные модели, reinforcement learning, обучение с подкреплением, дальше мультиагентные системы.
133320	136560	И в конце соберу какие-то общие такие итоги.
136560	141740	Так, зачем вообще нужен deep learning?
142700	150380	И есть огромный класс задач, которые мы прекрасно умеем формулировать человеческим языком,
150980	157560	но которые совершенно не умеем описывать математической формулой или алгоритмом.
158320	159760	Что такое кошка на фотографии?
159760	165740	Непонятно, как объяснить компьютеру правила, как он будет отличать кошку от собаки.
167260	171480	И такие вот существуют трудноформализованные задачи.
172800	175240	Это вот называется семантическим разрывом.
176360	181800	То же самое с детектированием объектов похода, с переводом машинным, с генерацией звука.
183700	187580	Есть, конечно, существуют всякие эвристики, можно писать правила, признаки.
187580	193460	Но вот deep learning, как технология глубокого обучения, предлагает несколько иной путь.
194300	199680	Вместо того, чтобы вручную писать правила, мы строим черный ящик и показываем там тысячи примеров,
199760	203220	и он сам находит закономерности, которые мы не смогли сформулировать явно.
208920	211400	Далее, давайте немножко формализуем это все.
211400	217620	Черный ящик – это, по сути, функция, которая отображает некий х в у от звездочек со звездочкой,
218060	221180	и х – это входные данные, и у – это предсказанные выходные.
222520	225480	Данные, в общем-то, неважно, что это за данные.
225660	231840	Это могут быть картинки, звук, видео или какие-то временные ряды со скважин.
231840	236340	В конце концов, все сводится к числам, векторам и матрицам многомерным.
238480	243880	Изображение – это просто матрица, ширина на высота и, допустим, три канала на цвет,
244000	245620	если мы говорим про цветное изображение.
247060	249440	Аудиосигнал тоже – это лектор отсчетов.
249680	251360	Видео более многомерная уже вещь.
251780	254920	Может быть, время, какая-то ширина, высота, каналы цветовые и так далее.
254920	258260	И для нашей задачи тоже применимо.
258380	263460	Показание датчика скважин во времени – это тоже просто вектор или матрица чисел, которые подаются в модель.
265080	269020	При этом модель не знает и не должна знать, кто перед ней.
269380	271560	Физика, она видит просто числа.
275960	280860	Как именно вообще черный ящик получает свой ответ?
282040	284720	Фундаментально идти глубокого обучения – искать связи между элементами,
284720	285400	входа и выхода.
286280	291760	Самый простой пример, с которого стоит начать – это многомерная линейная регрессия,
293020	298760	когда просто у нас f со звездочкой от x – это β1x плюс β2.
301760	308360	И мы, по сути, тут уже получаем такой самый простой строительный блок любой нейросети –
308360	309240	это линейный слой.
309240	320200	и метод, получается, вычисляет выходные значения через различные связи между входом и элементами вектора параметров.
320200	323380	Дальше.
325380	328860	Признаки – это то, из чего состоит, собственно, входной вектор x.
329480	332720	Для изображения признаками могут быть цветовые каналы,
333380	336020	или контуры, границы объектов.
336140	338040	Для сигнала могут быть сами отчеты,
338240	341820	или каким-то образом они нормализованы могут быть.
341820	346040	Здесь есть важная развилка.
346980	348840	Признаки можно конструировать вручную,
349240	351400	и это так называемый фича инжиниринг,
351820	352840	конструирование признаков,
352900	354140	а можно доверить самой нейросети.
355040	356480	И на картинке справа
356480	359800	классические примеры, сконструированные вручную признаку –
359800	361520	это контуры объектов на фотографии,
361600	366520	или три цветовых канала цветного изображения.
366520	377520	нейросети в значительной степени избавились от этой ручной работы,
377640	379920	но, добегая вперед, для суррогатных моделей,
380000	381980	о которых мы потом еще поговорим,
382920	384940	вопрос, какие признаки подавать на вход,
385380	387300	все равно остается крайне важным.
389660	391180	Начнем с нашей простой модели.
392500	395040	f от x, вот это равно β1x плюс β2.
396520	400080	Как вообще такую штуку обучать?
400780	402300	Обучение – это подбор таких параметров,
402460	404740	которые минимизируют функцию ошибки.
406040	408100	Тут она названа L.
408620	412120	Между предсказанием модели и настоящим ответом Y.
413520	416980	Тут возникает закономерный вопрос,
417100	418520	как вообще найти минимум этой функции,
419100	421400	и, в общем-то, делается это просто градиентным спуском
421400	424600	или одной из модификаций этого метода.
424600	431040	Шаги спуска – это понятная вещь.
431380	433320	Сначала у нас некие начальные параметры.
433700	436560	Мы вычисляем градиент ошибки на катом шаге,
437160	439420	после чего спускаемся, обновляем параметры
439420	441900	и снова вычисляем функцию ошибки.
441900	451260	Но у такой модели, как мы рассматривали, у простой,
451380	455120	все еще остается существенная проблема.
457460	459440	Дело в том, что она линейна,
459640	462020	соответственно, какие-то сложные нелинейные зависимости,
462020	465860	таким бы большим мы не выбрали датасет,
466940	469980	такая модель предсказывать не может.
470680	472900	И для этого вводится функция активации.
473980	477820	Она добавляется сразу после линейной комбинации входа
477820	478940	и создает нелинейность,
479940	482400	которой вот этому линейному слову
482400	483980	изначально не хватало.
483980	487360	Самая такая классическая функция активации – это сигмольда.
488180	490980	Есть также гиперболические тангенсы,
491200	492680	релу, лики релу,
493200	496500	которые чуть лучше в плане того,
496660	499000	что он в отрицательной нелинейности
499000	500420	не просто в ноль отображает,
500580	502800	а вот в некую такую пологую тоже прямую.
504700	508400	И также важной такой функцией является softmax.
509540	512460	Она обычно применяется на выходе классификаторов
512460	518440	и по сути отображает нам некий выход слоя
518440	528780	в вероятности каждого признака.
531060	535320	Итого у нас уже есть линейный слой плюс функция активации.
535440	539060	Это уже полноценная однослойная и нелинейная модель,
540060	541000	в которой уже можно работать.
542460	549140	Если собрать подряд несколько таких линейных слоев,
549180	552340	мы получим простейший многослойный перцептрон.
553060	555340	Этот перцептрон, наверное, не очень правильный термин,
555420	557700	все-таки классический перцептрон розенблата –
557700	560440	это несколько иная вещь.
560440	569120	минус такого подхода, именно работы с линейными слоями –
569120	573920	это то, что он не учитывает порядок элементов на входе.
574760	579960	То есть это критично для работы, опять же, с временными рядами,
580120	583220	с сигналами, с последовательностями, где нам важен порядок.
583220	589900	И обучается многослойный перцептрон,
589900	596620	тем же градиентным спуском, но градиент тут считается сразу по всем слоям.
596620	599920	Для этого существует функция обратного распространения ошибки.
600980	604820	На практике это все выполняют фреймворки автоматически,
604940	607780	PyTorch или TensorFlow, в зависимости от того, что вы выбираете,
608160	608960	что вам больше нравится.
608960	615160	Кто хочет подробнее в это погрузиться, в списке литературы будут ссылки.
618240	622760	Отдельный важный такой момент – это контроль качества модели.
622960	629660	То есть мы что-то обучили, а как у нас вообще эта модель будет потом работать на практике.
630800	636100	Для этого разделяют выборку всю, которая у нас есть,
636380	637980	на тренировочно-эваляционную тестовую.
637980	643200	На тренировочную производится расчет функций ошибки и, собственно, сам градиентный спуск.
644440	646200	Модель напрямую подгоняет эти данные.
647800	650660	Также есть выборка эваляционная.
651220	654140	Она из того же распределения обычно берется, из того же датасета,
654640	660840	но не участвует в спуске, используется именно для, может быть, выбора гиперпараметров,
661380	666500	для контроля того, как модель обучается и какая у нее обобщающая способность.
666500	669080	И, наконец, тестовая выборка.
670220	673220	Это отдельная выборка, которая не используется в обучении вовсе.
674220	678040	И это такая финальная, не привязаться, это оценка качества.
678860	685020	И наилучшим вообще вариантом выбора тестового датасета – это вообще другой датасет.
685020	690060	Как-то отдельно собранный.
690560	694300	Или максимально отделенный от изначально.
695120	701460	И, соответственно, по соотношению графика именно train-emolitation происходит диагностика недо- или переобучения.
702020	705420	И тест – это уже как финальные метрики того, что у нас получилось.
705420	707240	Тут есть важный момент.
707820	710300	Это утечки данных между выборками.
711720	716260	Нужно грамотно разбивать тренировочно-еволюционную тесты в выборке.
716860	722380	При этом важно, чтобы данные в выборках были перемешаны и между выборками.
722380	727160	Но есть опасность такая, как, например, во время аугментации.
727680	731440	Аугментация должна быть расширение искусственного датасета.
732420	738980	То есть, например, если мы говорим про изображение, это может быть поворот, линейный сдвиг, какие-то растяжения изображения.
739920	744140	И важно ее выполнять уже после разбиения на выборке.
744780	748120	Иначе измененные копии одного и того же объекта могут быть в разной выборке.
749420	750940	Это называется, собственно, утечкой данных.
750940	754340	Когда у нас одни и те же данные попадают в разные выборки.
755100	760320	И итоговая оценка может оказаться завышенной и нерелевантной.
766540	769840	Собственно, как понять по графикам, что у нас происходит с сетью.
772360	775240	Слева у нас на картинке это классический такой признак.
776880	778660	Классическая картина недообучения.
778660	785880	Когда обе у нас кривые и тренировочная, и эволюционная, держатся на высоком значении ошибки и почти не улучшается.
786000	788500	Модель слишком простая или недообученная.
789360	794280	Ну, бывает и обратная ситуация, когда модель слишком сложная, у нас не хватает данных для того, чтобы ее обучить.
794280	799220	Следующая картинка это переобучение.
799380	806840	Когда у нас на тренировочной выборке продолжает ошибка падать, а эволюционная начинает расти в какой-то момент.
807600	813580	Это говорит о том, что модель просто нас запомнила всю нашу тренировочную выборку.
813580	816360	Если у нее достаточно параметров, она вполне может это сделать.
817500	823760	И таким образом она просто выучивает эти элементы, и никакой общающей способности там нет.
824100	829580	И в таком случае у нас на валидации будет расти ошибка.
829580	838140	И, в общем-то, такое хорошее обучение, когда у нас обе выборки падают, и тренировочная, и эволюционная.
838380	841960	Обычно на эволюционную ошибку чуть выше, то, естественно.
843180	847320	Но могут быть нюансы с тем, как мы усредняем ошибку.
849860	852880	То есть бывает такое, что эволюционная проходит чуть ниже.
853260	856560	При этом они оба выходят на некое плато.
